index,식품명,식품중량,탄수화물(g),단백질(g),지방(g),에너지(kcal)
0,토스트(식빵),230.3,15.55,2.5,1.33,84
1,트위스터 샌드위치,380.6,3.3,3.6,2.96,56
50,무밥,246.2,36.68,3.7,1.06,177
113,커피_카페모카,100.0,10.46,2.76,2.08,72
114,커피_카푸치노,100.0,3.23,2.67,3.38,54
115,고구마_밤고구마_삶은것,100.0,30.17,2.45,0.12,132
116,팝콘,100.0,58.06,8.3,27.34,511
117,팝콘_카라멜,100.0,69.79,5.92,19.56,479
118,달걀_삶은것,100.0,0.63,12.8,10.65,150
119,달걀_삶은것_노른자,100.0,1.17,15.66,32.31,358
120,달걀_삶은것_흰자,100.0,0.01,11.42,0.29,48
121,대구포,100.0,2.33,31.97,0.4,141
124,기장밥,254.9,27.57,2.5,0.39,129
132,과ㆍ채주스_딸기_바나나,100.0,11.06,1.37,0.52,54
133,과ㆍ채주스_사과_당근,100.0,9.14,0.23,0.03,38
134,과ㆍ채주스_해독주스_착즙형,100.0,10.51,0.47,0.04,44
135,과ㆍ채주스_혼합과일 주스,100.0,13.19,0.77,0.37,59
136,라떼_그린티,100.0,10.33,2.97,2.56,76
137,라떼_바닐라,100.0,8.38,2.58,3.17,72
138,레몬청차,100.0,14.8,0.13,0.01,60
139,밀크티_블랙,100.0,5.3,1.0,2.64,49
140,밀크티_초콜릿,100.0,9.61,1.23,3.68,76
141,밀크티_타로,100.0,11.95,0.37,5.83,102
142,밀크티_흑당,100.0,15.37,2.38,2.55,94
143,식혜,150.0,16.21,1.53,1.75,87
144,액상커피_커피가루_설탕_크림(중량12g),100.0,10.06,0.43,1.03,51
145,액상커피_커피가루_설탕(중량2.7g),100.0,3.98,0.18,0.0,17
146,액상커피_커피가루(중량1g),100.0,0.7,0.2,0.01,4
147,커피_달고나커피,100.0,14.08,2.47,4.97,111
148,커피_아메리카노,100.0,0.66,0.23,0.03,4
149,커피_카라멜마끼아토,100.0,9.05,2.44,3.94,81
150,커피_카페라떼,100.0,3.11,2.72,3.72,57
151,게장_양념,100.0,8.07,12.24,3.3,111
152,명란젓_양념,100.0,3.98,17.96,6.54,147
153,조개젓_양념,100.0,12.61,8.61,2.05,103
154,고추장아찌,100.0,31.49,2.39,0.63,124
155,마늘쫑장아찌,100.0,27.34,1.96,0.14,118
156,마늘쫑장아찌_간장,50.0,10.8,2.0,1.0,60
157,마늘쫑장아찌_고추장,50.0,21.0,2.6,1.8,110
158,매실장아찌,30.0,58.11,1.65,0.43,243
159,무장아찌,30.0,16.76,1.47,0.76,80
160,오이지,100.0,2.52,0.82,1.79,29
161,소스/드레싱_간편조리세트_오야꼬동 (밥제외),768.0,7.66,8.93,5.54,116
162,카레소스_간편조리세트_키마카레&치즈키마카레,386.0,6.02,9.16,8.38,136
163,밀크쉐이크_바닐라,100.0,17.01,2.43,3.88,113
164,빙수_인절미_우유얼음,100.0,19.6,5.97,4.35,141
165,빙수_팥_우유얼음,100.0,31.49,3.24,0.79,146
166,아이스크림_썬대,100.0,30.45,3.17,6.86,196
167,우유_딸기,100.0,11.04,2.04,2.31,73
168,과ㆍ채주스_당근,100.0,6.88,0.36,0.04,29
169,동치미,100.0,2.08,0.49,0.07,11
170,배추김치,100.0,6.49,1.98,0.43,38
171,배추김치_가을재배,100.0,6.1,1.85,0.54,37
172,배추김치_봄재배,100.0,5.95,2.22,0.67,39
173,배추김치_여름재배,100.0,6.56,1.84,0.49,38
174,백김치,100.0,3.0,0.95,0.07,16
175,부추김치,100.0,8.42,3.03,2.83,71
176,얼갈이배추김치,100.0,4.37,1.88,0.58,30
177,열무김치,100.0,5.87,2.39,0.38,36
178,열무물김치,100.0,2.91,1.41,0.07,18
179,열무얼갈이김치,50.0,5.22,2.15,0.66,35
180,오이소박이,100.0,6.66,1.76,0.37,37
182,유채김치,100.0,10.1,3.5,0.8,62
183,유채물김치,100.0,3.0,1.0,0.1,17
184,총각김치,100.0,7.89,1.92,0.29,42
185,파김치,100.0,8.51,2.5,0.58,49
186,게장_간장,100.0,4.47,12.25,2.31,88
188,밴댕이무침,400.0,11.5,7.45,8.25,150
189,부추무침_부추만,100.0,11.58,3.25,1.21,70
190,상추 겉절이,100.0,6.18,2.48,3.26,64
191,샐러드_간편조리세트_콥샐러드&시저드레싱,486.0,4.55,8.75,8.4,129
192,샐러드_고구마,100.0,26.84,1.81,7.79,185
193,샐러드_양배추_코올슬로,100.0,14.89,0.95,9.91,153
194,쑥갓나물무침,150.0,4.4,3.0,3.8,64
195,오이생채,100.0,7.97,1.44,1.34,50
196,오이생채_오이만,100.0,6.56,1.61,2.08,51
197,탕평채,100.0,12.26,3.55,3.81,97
198,파무침,100.0,10.65,2.31,3.36,82
199,홍어무침,200.0,12.98,8.93,1.32,99
200,회무침_서대,300.0,15.3,7.53,1.53,105
201,갓김치,100.0,7.07,3.26,0.4,37
202,고들빼기김치,50.0,21.87,3.16,1.22,111
205,깻잎김치,100.0,11.77,3.44,2.44,83
207,미나리나물,50.0,4.48,2.03,3.67,59
208,세발나물무침,100.0,7.05,3.01,4.25,78
209,우거지나물무침,150.0,5.8,3.0,5.67,86
210,취나물무침,50.0,6.61,2.75,12.31,148
211,골뱅이무침,100.0,15.69,7.08,1.97,109
212,냉채_해파리,150.0,8.93,4.13,0.93,61
213,노각무침,150.0,9.53,1.73,1.2,56
214,단무지무침,50.0,5.6,1.0,1.6,40
215,달래무침,150.0,15.87,2.67,1.87,91
216,더덕무침,150.0,28.93,2.87,1.87,144
217,도라지생채,100.0,24.52,2.75,1.11,119
218,무말랭이무침,100.0,29.24,2.25,0.61,131
220,묵무침_도토리묵,100.0,10.38,0.29,0.32,46
221,묵무침_청포묵,250.0,9.08,1.16,2.08,60
222,물회,700.0,7.9,4.91,2.7,76
223,물회_생선,800.0,10.31,4.29,1.54,72
224,미역초무침,100.0,12.57,2.19,0.48,63
225,배추 겉절이,100.0,6.51,2.18,0.92,43
226,라조기,200.0,13.12,10.33,11.75,199
227,멘보샤,100.0,13.22,10.52,21.6,289
228,미꾸라지튀김,100.0,28.85,10.89,25.39,387
229,복어튀김,100.0,22.88,13.84,19.27,320
230,북어강정_고추장양념,100.0,25.82,19.22,22.07,379
231,생선까스,200.0,23.28,12.17,20.55,327
232,양파링튀김,100.0,43.58,3.86,25.23,411
233,쥐포튀김,100.0,42.5,9.62,16.49,357
234,치즈볼,100.0,28.66,9.56,20.0,333
235,치즈스틱,100.0,20.57,12.59,21.85,329
237,치킨가스,200.0,22.01,13.96,16.96,296
238,탕수육_간편조리세트_김치피자탕수육,790.0,20.47,12.36,10.67,227
239,난자완스,200.0,9.57,10.81,10.17,173
240,고구마줄기나물,100.0,5.77,1.64,7.46,97
241,깻잎나물,100.0,6.42,4.23,11.49,146
242,깻잎나물볶음,200.0,5.75,3.75,7.2,103
243,머위나물무침,100.0,2.49,1.62,7.66,85
246,김말이튀김,100.0,33.11,2.28,11.46,245
247,깐풍새우,100.0,20.56,8.15,13.86,240
248,닭모래집튀김,150.0,19.4,18.73,17.73,312
249,닭튀김,300.0,16.27,21.73,16.57,301
250,닭튀김_다리(넓적다리),100.0,9.08,21.61,16.53,277
251,닭튀김_다리(아랫다리),100.0,8.28,21.95,15.75,268
252,닭튀김_닭가슴살,100.0,20.2,21.0,9.7,252
253,닭튀김_목,100.0,8.7,19.82,23.52,330
254,닭튀김_살코기,100.0,9.42,22.54,17.35,289
256,닭튀김_양념,200.0,21.15,17.75,13.4,276
257,돈가스_간편조리세트_부타이로스카츠 (통등심돈가스),319.0,10.71,14.46,17.97,262
258,돈가스,100.0,15.89,13.85,17.94,280
259,돈가스_고구마,100.0,23.05,12.34,19.51,317
260,돈가스_돼지등심,200.0,19.24,16.5,18.77,312
261,돈가스_돼지안심,200.0,17.13,16.64,21.2,326
262,돈가스_치즈,250.0,16.71,16.81,18.68,302
264,주꾸미삼겹살,100.0,10.66,10.11,8.66,161
265,해물볶음,400.0,8.05,9.55,3.83,105
266,가자미조림,300.0,7.17,12.37,2.37,99
267,고등어조림,100.0,4.9,8.36,6.07,108
268,고추조림,100.0,13.4,3.3,4.9,111
269,닭볶음탕_간편조리세트_곱도리탕,1254.0,10.62,6.66,4.21,107
270,동태조림,250.0,6.96,16.32,1.88,110
271,북어조림,100.0,17.14,20.83,3.33,182
272,연근조림,100.0,60.2,2.1,1.3,261
273,장조림_돼지고기_메추리알,50.0,6.74,16.67,3.7,127
274,장조림_소고기_메추리알,50.0,5.77,16.27,3.68,121
275,장조림_우엉,100.0,34.37,2.1,0.3,149
276,조기조림,300.0,4.27,13.7,6.27,128
277,콩조림(콩자반),100.0,39.1,19.3,4.2,271
278,감자튀김_간편조리세트_몬스터 치즈 프라이,587.0,21.78,5.54,17.74,269
279,고구마맛탕,200.0,47.3,1.65,5.5,246
280,고구마튀김,100.0,33.8,2.72,11.87,253
281,고추튀김,100.0,14.6,7.6,12.6,202
283,멸치볶음_풋고추,20.0,17.03,23.25,11.2,262
284,미역줄기볶음,100.0,3.65,1.03,7.84,89
285,버섯볶음_양송이버섯,150.0,7.33,3.0,5.53,91
286,버섯볶음_표고버섯,150.0,10.53,3.0,4.47,95
287,소고기볶음_간편조리세트_차돌박이숙주볶음,369.0,6.38,7.3,15.35,193
288,소시지볶음,200.0,15.9,9.4,14.95,236
289,순대볶음_간편조리세트_매콤 깻잎 순대볶음,579.0,22.51,2.89,7.12,166
290,순대볶음_간편조리세트_신림동 백순대볶음,813.0,21.08,4.56,11.98,210
292,순대볶음,400.0,19.18,5.18,5.33,146
293,순대볶음_백순대,100.0,22.45,3.62,10.23,196
294,오징어볶음,100.0,9.84,10.28,4.38,120
295,오징어채볶음,100.0,29.77,22.04,7.57,275
296,잔멸치볶음,100.0,27.43,34.97,8.97,330
297,잡채_간편조리세트_소고기 버섯 잡채,512.0,19.97,2.18,1.8,105
299,잡채_고추,200.0,13.09,5.5,6.01,128
300,주꾸미볶음,200.0,11.41,9.16,2.6,106
301,곱창볶음_돼지껍데기,150.0,16.33,17.2,11.13,235
302,김치볶음_김치만,100.0,7.17,2.63,10.35,132
303,느타리버섯볶음,100.0,7.69,3.61,4.66,87
304,닭모래집볶음,100.0,2.82,28.11,5.8,176
305,닭볶음(닭갈비)_간편조리세트_모짜렐라 치즈 닭갈비,862.0,13.82,11.59,5.41,150
306,닭볶음(닭갈비)_간편조리세트_치즈 품은 닭갈비,984.0,17.96,9.5,5.62,160
307,닭볶음(닭갈비)_간편조리세트_치즈이불 닭갈비,813.0,14.49,11.4,6.48,162
308,닭볶음(닭갈비),400.0,11.23,11.48,6.45,149
309,돼지고기볶음_간편조리세트_돼지고기 숙주 볶음,650.0,9.05,7.46,8.78,145
310,돼지고기볶음,200.0,9.11,11.48,10.33,175
311,두부김치,250.0,5.63,7.79,6.85,115
312,떡볶이_간편조리세트_달콤짭짤 궁중식 떡볶이,866.0,24.0,5.27,5.54,167
313,떡볶이_간편조리세트_떡볶이 보통맛,965.0,26.45,3.9,4.36,161
314,떡볶이_간편조리세트_소불고기궁중떡볶이,806.0,20.2,5.46,1.7,118
315,떡볶이_간편조리세트_호로록 로제 떡볶이,1100.0,30.25,4.37,5.1,184
316,떡볶이_치즈,100.0,29.31,5.54,2.69,164
317,마파두부_간편조리세트_백리향 마파두부,742.0,4.62,7.42,9.0,129
318,머위나물볶음,150.0,5.07,2.33,4.67,72
319,생선전_동태,150.0,7.02,15.09,10.03,179
320,소고기산적,200.0,3.67,24.2,12.78,227
321,소라산적,80.0,8.06,22.4,3.14,150
322,스크램블드에그,100.0,1.61,9.99,10.98,149
323,오징어산적,80.0,4.5,21.72,2.47,127
324,완자전_소고기(동그랑땡/육원전),150.0,8.45,13.08,13.33,206
325,채소전,100.0,21.6,5.4,9.5,194
326,파전,150.0,23.2,4.56,9.35,195
327,해물파전_간편조리세트_모둠해물파전,1330.0,17.29,6.81,12.09,205
328,햄부침,100.0,11.3,11.3,17.1,244
329,호박전,150.0,10.73,4.32,8.73,139
330,홍합산적,80.0,13.22,22.23,6.0,196
331,화양적,150.0,14.23,9.05,9.85,182
332,감바스_간편조리세트_감바스 알 아히요,641.0,19.0,11.48,11.38,224
335,감자볶음_감자만,100.0,16.18,1.9,6.86,134
336,고추잡채_간편조리세트_고추잡채 꽃빵키트,556.0,22.5,6.76,5.62,168
337,황태구이,200.0,13.45,23.9,7.7,219
338,훈제오리,250.0,4.83,17.22,25.63,319
340,고추전,150.0,11.34,8.61,11.48,183
341,굴전,100.0,14.5,10.6,10.5,195
342,깻잎전,150.0,9.7,11.82,17.18,241
343,꼬치구치_낙지,80.0,3.53,16.43,1.59,94
344,녹두빈대떡,100.0,20.93,7.94,10.27,208
345,달걀말이_달걀만,100.0,4.83,13.3,15.31,210
346,달걀말이_채소,100.0,4.62,11.15,13.31,183
347,동태전,100.0,6.11,16.48,11.63,195
348,두부부침,100.0,2.69,12.13,9.4,144
349,두부전,150.0,5.0,13.64,10.58,170
350,미나리전,150.0,22.82,3.49,5.08,151
351,배추전,150.0,23.68,3.44,5.78,160
352,버섯전,150.0,10.8,7.02,9.91,160
353,새우전,100.0,11.57,9.99,11.33,188
354,생선전_가자미,150.0,4.61,17.17,7.38,154
355,마늘장아찌,100.0,25.36,2.43,0.16,113
356,돼지불고기_간편조리세트_매콤 콩나물불고기,522.0,13.82,10.62,10.31,191
357,돼지불고기_삼겹살_오징어,200.0,10.25,12.8,9.95,182
358,막창구이_소고기,100.0,0.4,15.34,32.73,358
360,스테이크_간편조리세트_그레이프 소스 스테이크,477.0,8.47,11.09,8.36,153
361,스테이크_간편조리세트_뉴욕스테이크&크림뇨끼,445.0,15.39,8.71,8.79,176
362,스테이크_간편조리세트_부채살 찹스테이크,435.0,5.94,11.08,12.04,176
363,스테이크_간편조리세트_파빌리온 양갈비 스테이크,555.0,13.07,9.46,6.8,151
364,스테이크_간편조리세트_프라임스테이크 부채살,633.0,5.63,10.77,13.41,186
365,연어구이,100.0,0.2,24.78,14.94,234
366,오겹살구이_돼지고기,100.0,2.72,20.18,35.14,408
367,임연수구이,250.0,1.4,21.52,11.76,198
368,장어구이_붕장어_소금,100.0,11.6,26.0,16.2,297
369,장어구이_양념,150.0,5.87,20.51,20.37,289
370,차돌박이구이_소고기,100.0,1.31,17.94,45.69,488
371,콘치즈구이,100.0,17.56,9.51,12.85,224
372,함박스테이크_간편조리세트_더블체다 함박스테이크,593.0,13.88,9.9,10.46,189
373,함박스테이크,200.0,10.38,13.48,14.82,229
374,해물찜_간편조리세트_낙지한마리해물찜,844.0,7.52,6.63,3.53,88
375,해물찜_간편조리세트_백합&바지락통찜,771.0,6.85,3.31,0.95,49
376,해물찜,500.0,7.08,8.52,1.96,80
377,가자미구이,100.0,0.76,22.61,6.42,151
378,갈매기살구이_돼지고기,100.0,0.28,26.98,22.6,312
379,갈비구이_돼지고기,100.0,5.78,19.58,21.39,294
380,갈비구이_소고기,100.0,7.13,20.94,21.81,309
381,갈비구이_소고기_양념,300.0,8.73,20.03,23.87,330
